IATA,ICAO,Airline,Call sign,Country/Region,Comments
,DIS,Di Air,DI AIR,Serbia,
,DIX,Dix Aviation,DIX FLIGHT,Germany,
HO,DJA,Antinea Airlines,ANTINEA,Algeria,defunct
,DJE,Durango Jet,DURANGO JET,Mexico,
,DJR,Desert Jet,DESERT FLIGHT,United States,
,DJS,DayJet,DAYJET,United States,
,DJT,Dreamjet,DREAMJET,France,2014
,DJT,Denver Jet,DENVER JET,United States,
,DJU,Air Djibouti,AIR DJIB,Djibouti,defunct
,DKA,Daka,,Kazakhstan,
,DKE,Jubilee Airways,DUKE,United Kingdom,
HO,DKH,Juneyao Airlines,AIR JUNEYAO,China,2023
,DKN,Deccan Charters,DECCAN,India,
,DKT,Sioux Falls Aviation,DAKOTA,United States,
,DKY,Servicios Aéreos Elite,DAKOY,Spain,
EN,DLA,Air Dolomiti,DOLOMITI,Italy,
,DLA,Air Dolomiti,DOLOMITI,Italy,
,DLC,Dehong South Asian General Aviation,SOARCOPTER,China,Was Ruili Jingcheng Helicopters
LH,DLH,Lufthansa,LUFTHANSA,Germany,
,DLI,Delta Express International,DELTA EXPRESS,Ukraine,
,DLK,Millennium Airlines,DEKKANLANKA,Sri Lanka,
,DLR,Dala Air Services,DALA AIR,Nigeria,
,DLS,Aero Modelo,AEROMODELO,Mexico,
,DLU,Aerolíneas del Sur,DEL SUR,Chile,defunct
,DMC,Aerodinamica de Monterrey,DINAMICAMONT,Mexico,
,DMD,Namdeb Diamond Corporation,DIAMONDJET,Namibia,
,DMF,DMCFLY,DEMLY,Mexico,
,DMI,Aeroservicios Dinamicos,AERODINAMICO,Mexico,
,DMJ,Global Air,DAMOJH,Mexico,defunct
,DML,Aerotaxis Dosmil,,Mexico,
E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia,defunct
,DNA,Aerodespachos de El Salvador,AERODESPACHOS,El Salvador,
,DNC,Aerodynamics Málaga,FLYINGOLIVE,Spain,
,DND,Eldinder Aviation,DINDER,Sudan,
,DNI,Servicios Aéreos Denim,AERO DENIM,Mexico,
,DNJ,Aerodynamics Incorporated,DYNAJET,United States,
,DNK,D&K Aviation,DIRECT JET,United States,
,DNL,Dutch Antilles Express,DUTCH ANTILLES,Netherlands Antilles,
J7,DNM,Denim Air,DENIM,Netherlands,Defunct
,DNR,Dynamair Aviation,DYNAMAIR,Canada,
,DNS,Dniproaviaservis Company,,Ukraine,
,DNU,Danu Oro Transportas,DANU,Lithuania,
D9,DNV,Donavia,DONAVIA,Russia,formerly Aeroflot-Don
,DNY,Danish Navy,DANISH NAVY,Denmark,
DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic,defunct
,DOC,Norsk Luftambulanse,HELIDOC,Norway,
,DOD,USAF Air Mobility Operations Control Center,,United States,
,DOI,U.S. Department of the Interior,INTERIOR,United States,Office of Aircraft Services
,DOJ,Justice Prisoner and Alien Transportation System,JUSTICE,United States,
,DOM,Dos Mundos,DOS MUNDOS,Dominican Republic,
,DON,Donair Flying Club,DONAIR,United Kingdom,
,DOP,Dancopter,DANCOPTER,Denmark,
,DOR,Dornier,DORNIER,Germany,
,DOT,Telnic Limited,DOT TEL,United Kingdom,
,DPJ,Delta Private Jets,JET CARD,United States,Changed from ELJ/ELITE JET in 2014
,DPL,Dome Petroleum,DOME,Canada,
,DQA,Island Aviation Services,,Maldives,
Q2,DQA,Maldivian (airline),SKYSURFER,Maldives,
,DRB,Didier Rousset Buy,DIDIER,Chile,
,DRC,Triton  Airlines,TRITON AIR,Canada,
,DRD,Aereo Dorado,AEREO DORADO,Mexico,
NM,DRD,Air Madrid,ALADA AIR,Spain,defunct
,DRE,Drummond Island Air,MICHIGAN,United States,
,DRF,Dream Flyers Training Center,,Spain,
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan,
,DRL,Omni Air Transport,DRILLER,United States,
,DRM,Airways Flight Training,DARTMOOR,United Kingdom,
,DRN,Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,
,DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico,
,DRO,Aeronaves Del Noreste,AERONORESTE,Mexico,
,DRT,Darta,DARTA,France,
6R,DRU,Alrosa Air Company,MIRNY,Russia,
,DRX,Des R Cargo Express,,Mauritania,
,DRY,Deraya Air Taxi,DERAYA,Indonesia,
,DSA,Danbury Airways,DANBURY AIRWAYS,United States,
,DSC,Addis Air Cargo Services,ADDIS CARGO,Ethiopia,
,DSH,Dash Air Charter,DASH CHARTER,United States,
,DSK,Aero Algarve,SKYBANNER,Portugal,ICAO code no longer allocated
,DSL,Meridian Aviation,DIESEL,United Kingdom,
4M,DSM,LATAM Argentina,LAN AR,Argentina,
,DSN,DESNA,DESNA,Ukraine,
,DSO,Dassault Falcon Service,DASSAULT,France,
,DSQ,Dasab Airlines,DASAB AIR,Uganda,
WD,DSR,DAS Air Cargo,DAIRAIR,Uganda,
,DST,Aex Air,DESERT,United States,
,DSU,Delta State University,DELTA STATE,United States,
DT,DTA,TAAG Angola Airlines,DTA,Angola,
SF,DTH,Tassili  Airlines,TASSILI AIR,Algeria,
,DTN,Data International,DATA AIR,Sudan,
DX,DTR,DAT Danish Air Transport,DANISH,Denmark,
,DTV,Centre Airlines,DUTCH VALLEY,United States,
,DTY,Destiny Air Services,DESTINY,Sierra Leone,
,DUB,Dubai Airwing,DUBAI,United Arab Emirates,
,DUK,Ducair,LION KING,Luxembourg,
,DUN,Dun'Air,DUNAIR,Mauritania,
,DUO,Duo Airways,FLY DUO,United Kingdom,
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States,
,DVB,Don Avia,DONSEBAI,Kazakhstan,
,DVI,Aerodavinci,AERO DAVINCI,Mexico,
,DVN,Adventia,,Spain,
,DWN,Dawn Air,DAWN AIR,United States,
,DWR,Delaware Skyways,DELAWARE,United States,
0D,DWT,Darwin Airline,DARWIN,Switzerland,
,DWW,Jet Courier Service,DON JUAN,United States,
,DXH,East Star Airlines,EAST STAR,China,
,DXP,Dallas Express Airlines,DALLAS EXPRESS,United States,
,DYA,Dynamic Airways,DYNAMIC AIR,United States,
,DYE,Dynamic Air,DYNAMIC,Netherlands,ICAO code and call sign no longer allocated
4A,DYN,California Pacific Airlines,AERODYNAMICS,United States,defunct
,DZR,Midwest Aviation,DOZER,United States,
,EAB,Swiss Eagle,SWISS EAGLE,Switzerland,
,EAC,Executive Air Charter,EXECAIR,United States,
,EAD,Escola De Aviacao Aerocondor,AERO-ESCOLA,Portugal,
,EAE,Aeroservicios Ecuatorianos,AECA,Ecuador,
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom,
NZ,EAG,Eagle Airways,EAGLE,New Zealand,
,EAG,European Aeronautical Group UK,,United Kingdom,defunct
,EAH,Baltimore Airways,EASTERN,United States,
,EAI,Elite Air,ELAIR,Togo,
EA,EAI,Emerald Airlines,GEMSTONE,Ireland,
,EAK,Euro-Asia Air,EAKAZ,Kazakhstan,
EA,EAL,Eastern Air Lines,EASTERN,United States,defunct
,EAL,Eastern Air Lines,EASTERN,United States,2015
EA,EAL,European Air Express,STAR WING,Germany,
,EAM,Embassy Airlines,EMBASSY AIR,Nigeria,
,EAN,Skypower Express Airways,NIGERIA EXPRESS,Nigeria,Express Airways Nigeria
,EAP,Aero-Pyrenees,AERO-PYRENEES,France,
QF,EAQ,Eastern Australia Airlines,EASTERN,Australia,IATA dupe with parent QANTAS. Also uses 2 letter ICAO EA.
,EAR,Transporte Ejecutivo  Aéreo,EJECUTIVO-AEREO,Mexico,
,EAT,Air Transport,TRANS EUROPE,Slovakia,
,EAV,Eagle Airlines Luftverkehrsges,MAYFLOWER,Austria,
,EAX,Eastern Air Executive,EASTEX,United Kingdom,
EE,EAY,Aero Airlines,REVAL,Estonia,defunct
,EAZ,Eastern Air,EASAIR,Zambia,
,EBA,Bond Aviation,BOND AVIATION,Italy,
,EBC,Aero Ejecutivo De Baja California,CALIXJET,Mexico,
,EBE,Minebea Technologies,MINEBEA,United States,
,EBF,Echo Airlines,,Bahamas,2014
,EBF,MSR Flug-Charter,SKYRUNNER,Germany,
,EBG,Eurosense,EUROSENSE,Bulgaria,
,EBJ,European Business Jets,,United Kingdom,
,EBS,AEG Aviation Services,,United States,
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus,
,ECB,European Coastal Airlines,COASTAL CLIPPER,Croatia,
QE,ECC,Crossair Europe,Cigogne,Switzerland,
,ECC,Eclair Aviation,ECLAIR,Czech Republic,
,ECD,Ecotour,ECOTOUR,Mexico,
4F,ECE,Air City,AIRCITY,Germany,
,ECF,Eurocopter,EUROCOPTER,France,
,ECG,Aero Ejecutivos RCG,EJECTUIVOS RCG,Mexico,
,ECI,Eastern Carolina Aviation,EASTERN CAROLINA,United States,
,ECJ,East Coast Jets,EASTCOAST JET,United States,
,ECL,Aeronáutica Castellana,AERO CASTELLANA,Spain,
,ECM,Aerolíneas Comerciales,AERO COMERCIALES,Mexico,
,ECN,Euro Continental AIE,EURO CONTINENTAL,Spain,
,ECQ,Eco Air,SKYBRIDGE,Nigeria,
,ECS,Executive Aircraft Charter and Charter Services,ECHO,Ireland,
,ECT,East Coast Airways,EASTWAY,South Africa,
,ECU,Ecuavia,ECUAVIA,Ecuador,
,ECV,Ecuatoguineana De Aviación (EGA),EQUATOGUINEA,Equatorial Guinea,
,ECX,Ecomex Air Cargo,AIR ECOMEX,Angola,
,ECY,Euroceltic Airways,ECHELON,United Kingdom,
,EDA,Aerolineas Nacionales Del Ecuador,ANDES,Ecuador,defunct
,EDC,Air Charter Scotland,SALTIRE,United Kingdom,Previously: Edinburgh Air Charter
,EDD,Líneas Aéreas Ejectuivas De Durango,LINEAS DURANGO,Mexico,
,EDJ,Edwards Jet Center of Montana,EDWARDS,United States,
,EDL,Polizeihubschrauberstaffel Bayern,POLICE EDELWEISS,Germany,
,EDO,Elidolomiti,ELIDOLOMITI,Italy,
8W,EDR,Fly All Ways,BIRDVIEW,Suriname,
,EDR,Líneas Aéreas Eldorado,ELDORADRO,Colombia,
9E,EDV,Endeavor Air,ENDEAVOR,United States,
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland,
,EDY,Apollo Air Service,STOBART,United Kingdom,Was VLL Limited
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador,
,EEF,Estonian Air Force,ESTONIAN AIR FORCE,Estonia,
,EES,Eagle Express,,Serbia,2014
,EET,Air Este,AESTE,Spain,
,EEU,Eurofly Service,EUROFLY,Italy,
GJ,EEZ,Eurofly,E-FLY,Italy,
,EFC,Air Mana,FLIGHT TAXI,France,
,EFD,Eisele Flugdienst,EVER FLIGHT,Germany,
,EFG,Elifriulia,ELIFRIULIA,Italy,
,EFL,Eagle Air,FLYING EAGLE,Tanzania,defunct 2002
,EFS,EFAOS- Agencia De Viagens e Turismo,EFAOS,Angola,
,EFT,Embassy Freight Company,EMBASSY FREIGHT,United States,
,EFW,BA Euroflyer,GRIFFIN,United Kingdom,BA Euroflyer subsidiary based at London Gatwick
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States,"Renamed Envoy Air, ICAO Code and Callsign withdrawn in 2014"
,EGJ,Eagle Jet Charter,EAGLE JET,United States,
,EGL,Capital Trading Aviation,PRESTIGE,United Kingdom,
,EGN,Eagle Aviation France,FRENCH EAGLE,France,
,EGO,Gauteng Air Cargo,GAUTENG,South Africa,
,EGR,Eagle Air,EAGLE SIERRA,Sierra Leone,
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda,
,EGV,Enrique Gleisner Vivanco,GLEISNER,Chile,
,EGX,Eagle Air Company,THAI EAGLE,Thailand,
,EGY,Egyptian Air Force,,Egypt,
,EHA,East Hampton Aire,AIRE HAMPTON,United States,
,EHD,E H Darby Aviation,PLATINUM AIR,United States,
,EHR,Valfell-Verkflug,ROTOR,Iceland,
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States,
,EIC,Express International Cargo,EXCARGO,São Tomé and Príncipe,
,EIJ,Efata Papua Airlines,EFATA,Indonesia,
EI,EIN,Aer Lingus,SHAMROCK,Ireland,
,EIR,Eirjet,EIRJET,Ireland,
,EIS,EIS Aircraft,COOL,Germany,
,EIX,Ei Air Exports,AIR EXPORTS,Ireland,
1I,EJA,NetJets,EXECJET,United States,
,EJC,Grupo De Aviación Ejecutiva,GRUPOEJECUTIVA,Mexico,
,EJD,Elite Jets,ELITE DUBAI,United Arab Emirates,
,EJM,Executive Jet Management,JET SPEED,United States,
,EJO,Execujet Middle East,MIDJET,United Arab Emirates,
,EJP,Aeroservicios Ejecutivos Corporativos,EJECCORPORATIVOS,Mexico,
,EJS,Eurojet Servis,EEJAY SERVICE,Czech Republic,
,EJT,Eclipse Aviation,ECLIPSE JET,United States,
EC,EJU,easyJet Europe,ALPINE,Austria,
,EJV,Compania Ejecutiva,EJECUTIVA,Mexico,
,EJX,Egyptian Aviation,,Egypt,
,EKA,Equaflight Service,EQUAFLIGHT,Republic of the Congo,
,EKC,East Kansas City Aviation,BLUE GOOSE,United States,
DK,ELA,Eastland Air,,Australia,
EL,ELB,Ellinair,ELLINAIR HELLAS,Greece,
,ELB,Elieuro,ELILOBARDIA,Italy,No longer used
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy,"defunct, ICAO code no longer allocated"
,ELH,Elilario Italia,LARIO,Italy,
,ELJ,Delta Private Jets,ELITE JET,United States,Changed to DPJ/JET CARD in 2014
OV,ELL,Estonian Air,ESTONIAN,Estonia,
,ELM,Crelam,CRELAM,Mexico,
,ELN,Eleron Aviation Company,ELERON,Ukraine,
K2,ELO,Eurolot,EUROLOT,Poland,
,ELR,Elrom Aviation and Investments,,Israel,
,ELS,El Sal Air,EL SAL,El Salvador,
,ELT,Elliott Aviation,ELLIOT,United States,
,ELU,Egyptian Leisure Airlines,EGYPTIAN LEISURE,Egypt,
,ELV,Transportes  Aéreos Nacionales De Selva Tans,AEREOS SELVA,Peru,
,ELW,Yellow Wings Air Services,YELLOW WINGS,Kenya,
,ELX,Elan Express,ELAN,United States,
LY,ELY,El Al Israel Airlines,ELAL,Israel,
,EMA,Egyptian Aviation Company,,Egypt,
,EMB,Empresa Brasileira De Aeronáutica,EMBRAER,Brazil,
,EMD,Eaglemed (Ballard Aviation),EAGLEMED,United States,
,EME,Eastern Metro Express,EMAIR,United States,
,EMI,Premium Air Shuttle,BLUE SHUTTLE,Nigeria,
Y0,EMJ,Yellow Air Taxi/Friendship Airways,,United States,
,EMN,Examiner Training Agency,AGENCY,United Kingdom,
,EMP,Empire Air Service,EMPIRE,United States,
,EMR,Zenmour Airlines,ZENMOUR,Mauritania,
,EMS,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico,
,EMT,Emetebe,EMETEBE,Ecuador,
,EMU,East Asia Airlines,,Macao,
3W,EMX,Euromanx Airways,EUROMANX,Austria,
,ENA,Dirección General de Aviación Civil y Telecomunicasciones,ENA,Spain,
,ENC,Endecots,ENDECOTS,Ecuador,
,END,Arrendadora y Transportadora Aérea,ARRENDADORA,Mexico,
,ENI,Enimex,ENIMEX,Estonia,
,ENK,Executive Airlink,SUNBIRD,United States,Allocated in 2014
G8,ENK,Enkor JSC,ENKOR,Russia,
,ENR,Scenic Air,,Namibia,
,ENS,Entergy Services,ENTERGY SHUTTLE,United States,
,ENT,DAT Enterprise Limited,DATENT,United Kingdom,defunct
OF,ENT,Enter Air,ENTER,Poland,
,ENV,Victoria Aviation,ENDEAVOUR,United Kingdom,
,ENW,Aeronaves Del Noroeste,AERONOR,Spain,
MQ,ENY,Envoy Air,ENVOY,United States,2014
,ENZ,Jota Aviation,ENZO,United Kingdom,
,EOA,Elilombarda,LOMBARDA,Italy,
RF,EOK,Aero K,AEROHANKUK,South Korea,established in May 2016; commenced operations on 15 April 2021
,EOL,Airailes,EOLE,France,
,EOM,Aero Ermes,AERO ERMES,Mexico,
DZ,EPA,Donghai Airlines,DONGHAI AIR,China,
,EPB,Eastern Pacific Aviation,EAST PAC,Canada,
,EPC,Espace Aviation Services,ESPACE,Democratic Republic of the Congo,
,EPE,Aero Empresarial,AEROEMPRESARIAL,Mexico,
,EPL,Aero Transportes Empresariales,EMPRESARIALES,Mexico,
,EPR,Express Airways,EMPEROR,Slovenia,
,EPU,Aero Elite Acapulco,ELITACAPULCO,Mexico,
,EQC,Ecuatorial Cargo,ECUA-CARGO,Equatorial Guinea,
KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe,defunct
,EQT,Equatorial Airlines,,Equatorial Guinea,
,EQZ,Equatair Air Services (Zambia),ZAMBIA CARGO,Zambia,
,ERC,Aerocharter,,Guatemala,defunct
,ERC,Esso Resources Canada,ESSO,Canada,
,ERE,Erie Airways,AIR ERIE,United States,
,ERF,Erfoto,ERFOTO,Portugal,
,ERG,Avianergo,AVIANERGO,Russia,defunct
,ERH,Era Helicopters,ERAH,United States,
,ERI,Aero Servicios Regiomontanos,ASERGIO,Mexico,
,ERJ,Eurojet Italia,JET ITALIA,Italy,
,ERK,Aerosec,AEROSEC,Chile,
,ERM,Aeromaan,EOMAAN,Mexico,
,ERO,Aeroecom,AEROECOM,Venezuela,
7L,ERO,Sun D'Or,ECHO ROMEO,Israel,
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea,
,ERV,Yerevan-Avia,YEREVAN-AVIA,Armenia,
,ERX,Earth Airlines Services,EARTH AIR,Nigeria,
,ESB,Aereosaba,AEREOSABA,Mexico,
,ESC,El Sol De América,SOLAMERICA,Venezuela,
,ESE,Ensenada Vuelos Especiales,ENSENADA ESPECIAL,Mexico,
E7,ESF,Estafeta Carga Aérea,,Mexico,
,ESI,ESI Eliservizi Italiani,ELISERVIZI,Italy,
,ESJ,Eastern SkyJets,EASTERN SKYJETS,United Arab Emirates,
NE,ESK,SkyEurope,RELAX,Slovakia,defunct
P7,ESL,Russian Sky Airlines,RADUGA,Russia,
,ESN,Euro Sun,EURO SUN,Turkey,
,ESO,Avitat,,United Kingdom,
ZE,ESR,Eastar Jet,EASTAR,South Korea,
E0,ESS,Eos Airlines,NEW DAWN,United States,
,EST,Carga Express Internacional,CARGAINTER,Mexico,
,ESU,Aerolíneas Ejecutivas Del Sureste,ALESUR,Mexico,
,ESX,Euroskylink,CATFISH,United Kingdom,
,ESZ,Aeronáutica La Esperanza,ESPERANZA,Mexico,
,ETA,Estrellas Del Aire,ESTRELLAS,Mexico,
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan,
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates,
,ETE,Aero Siete,AEROSIETE,Mexico,
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia,
,ETI,H-Bird Aviation Services AB,JETHAWK,Sweden,
,ETL,Patterson Aviation Company,ENTEL,United States,
,ETM,Etram Air Wing,ETRAM,Angola,
,ETN,Chim-Nir Aviation,CHIMNIR,Israel,
,ETP,Empire Test Pilots' School,TESTER,United Kingdom,
,ETS,Flygtransporter I Nykoping,EXTRANS,Sweden,
,ETV,European Executive,EURO EXEC,United Kingdom,
,EUC,Eurocontrol,,Belgium,
,EUG,Euroguineana de Aviación,EUROGUINEA,Equatorial Guinea,
VE,EUJ,EUjet,UNION JET,Ireland,defunct
EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom,
,EUK,Air Atlanta Europe,SNOWBIRD,United Kingdom,defunct
,EUP,Pan Europeenne Air Service,SAVOY,France,
,EUT,European 2000 Airlines,FIESTA,Malta,
,EUU,Euroamerican Air,EUROAMERICAN,Uruguay,
,EUW,EFS European Flight Service,EUROWEST,Sweden,
,EUY,EU Airways,EUROAIRWAYS,Ireland,
BR,EVA,EVA Air,EVA,Taiwan,
,EVE,Air Evex,SUNBEAM,Germany,
,EVE,Evelop Airlines,EVELOP,Spain,
,EVK,Everett Aviation,EVERETT,Kenya,
,EVL,Evolem Aviation,EVOLEM,France,
,EVM,Natural Environment Research Council,SCIENCE,United Kingdom,
,EVN,Euraviation,EURAVIATION,Italy,
,EVR,Aeronautical Academy of Europe,DIANA,Portugal,
8K,EVS,Exploits Valley Air Services,EVAS,Canada,
,EVT,Everett Limited,,Tanzania,
,EVY,"34 Squadron, Royal Australian Air Force",Multiple,,
,EWA,East-West Airlines,EASTWEST,Australia,defunct
E2/E6,EWE/EWL,Eurowings Europe,EUROPWINGS BLACK PEARL,Austria,
EW,EWG,Eurowings,EUROWINGS,Germany,
E6,EWL,Eurowings Europe,Black Pearl,Malta,
ZD,EWR,Ewa Air,MAYOTTE AIR,France,
,EWS,Enterprise World Airways,WORLD ENTERPRISE,Democratic Republic of the Congo,
,EWW,Emery Worldwide Airlines,EMERY,United States,
MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada,
,EXB,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,
,EXC,European Executive Express,ECHO EXPRESS,Sweden,
,EXE,Executive Flight,EXEC,United States,
,EXF,Eximflight,EXIMFLIGHT,Mexico,
,EXG,Air Exchange,EXCHANGE,United States,
,EXH,G5 Executive,BATMAN,Switzerland,
,EXJ,Executive Jet Charter,,United Kingdom,
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States,American Eagle
CQ,EXL,Sunshine Express Airlines,,Australia,
,EXM,United Kingdom Civil Aviation Authority,EXAM,United Kingdom,CAA Flight Examiners
,EXN,Exin,EXIN,Poland,
,EXP,Business Express Delivery,EXPRESS AIR,Canada,
I4,EXP,Island Air Express,ISLAND EXPRESS,United States,2014
,EXR,Expertos En Carga,EXPERTOS ENCARGA,Mexico,
LS,EXS,Jet2.com,CHANNEX,United Kingdom,
LS,EXS,Jet2,Channex,United Kingdom,Started in 1983
,EXT,Nightexpress,EXECUTIVE,Germany,
,EXU,Executive Airlines,SACAIR,Spain,
8D,EXV,FitsAir,EXPOAVIA,Sri Lanka,
,EXW,Executive Airlines Services,ECHOLINE,Nigeria,
,EXX,International Air Corporation,EXPRESS INTERNATIONAL,United States,
,EXY,South African Express,EXPRESSWAYS,South Africa,
,EXZ,East African Safari Air Express,TWIGA,Kenya,
,EYE,F.S. Air Service,SOCKEYE,United States,
,EZB,Flugschule Eichenberger,EICHENBURGER,Switzerland,
Z2,EZD,Philippines AirAsia,REDHOT,Philippines,
,EZD,Zest Airways,ZEST AIRWAYS,Philippines,
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom,
,EZJ,Ezjet GT,GUYANA JET,Guyana,
DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland,
9A,EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia,
U2,EZY,easyJet UK,EASY,United Kingdom,
7F,FAB,First Air,FIRST AIR,Canada,
,FAC,Atlantic Helicopters,FAROECOPTER,Denmark,
,FAD,Rog-Air,AIR FRONTIER,Canada,
,FAE,Freshaer,WILDGOOSE,United Kingdom,
,FAF,Force Aerienne Francaise,FRENCH AIR FORCE,France,
,FAG,Argentine Air Force,FUAER,Argentina,
,FAH,Farnair Hungary,BLUE STRIP,Hungary,
PC,FAJ,Air Fiji,FIJIAIR,Fiji,defunct
,FAK,Financial Airxpress,FACTS,United States,
,FAL,Friendship Air Alaska,FRIENDSHIP,United States,
,FAM,Fumigación Aérea Andaluza,FAASA,Spain,
,FAN,AF-Air International,FANBIRD,Angola,
,FAO,Falcon Air Express,PANTHER,United States,
,FAP,F Air,FAIR SCHOOL,Czech Republic,
,FAP,Parsons Airways Northern,,Canada,
,FAQ,Aerofaq,,Ecuador,
,FAR,Falcon Air,FALCAIR,Slovenia,
,FAS,Florida Air Cargo,FLORIDA CARGO,United States,Allocated in 2014
,FAS,Freedom Airways,FREEDOM AIRWAYS,Cyprus,
,FAT,ASL Airlines Switzerland,FARNER,Switzerland,Previously: Farnair Switzerland
,FAU,Falcon Airline,FALCON AIRLINE,Nigeria,
,FAV,Fair Aviation,FAIRAVIA,South Africa,
,FAW,Falwell Aviation,FALWELL,United States,
,FAX,Midwest Air Freighters,FAIRFAX,United States,
,FAY,Fayban Air Services,FAYBAN AIR,Nigeria,
,FAZ,Flint Aviation Services,FLINT AIR,United States,
,FBA,Fab Air,FAB AIR,Kyrgyzstan,
,FBF,Fine Airlines,FINE AIR,United States,
,FBO,TAG Farnborough Airport,,United Kingdom,
,FBU,French Bee,FRENCH BEE,France,
,FBW,Aviation Data Systems,,United States,
FO,FBZ,Flybondi,BONDI,Argentina,
,FCA,Fly-Coop Air Service,COOPAIR,Hungary,
,FCB,Cobalt,NEW AGE,Cyprus,
,FCC,First Cambodia Airlines,FIRST CAMBODIA,Cambodia,
,FCE,Flycolumbia,FLYCOLUMBIA,Spain,
,FCI,Air Carriers,FAST CHECK,United States,
,FCJ,AirSprint US,FRACJET,United States,"Previously used code ""HAB"""
,FCK,FCS Flight Calibration Services,NAV CHECKER,Germany,
PA,FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States,
,FCN,Falcon Air,FALCON,Sweden,
,FCO,Aerofrisco,AEROFRISCO,Mexico,
,FCP,Nelson Aviation College Ltd,FLIGHTCORP,New Zealand,Nelson Aviation College [1] Archived 2017-06-07 at the Wayback Machine
,FCR,Flying Carpet Company,FLYING CARPET,Lebanon,
,FCS,Facts Air,MEXFACTS,Mexico,
,FCT,Fly CI Limited,DEALER,United Kingdom,
,FCU,Alfa 4,,Mexico,
,FCV,Flight Centre Victoria,NAVAIR,Canada,
JH,FDA,Fuji Dream Airlines,FUJI DREAM,Japan,
FZ,FDB,Flydubai,SKYDUBAI,UAE,
,FDF,IVV Femida,,Russia,
,FDL,Farmingdale State University,FARMINGDALE STATE,United States,
,FDN,Dolphin Air,FLYING DOLPHIN,United Arab Emirates,
,FDO,France Douanes,FRENCH CUSTOM,France,
,FDP,Flight Dispatch Services,,Poland,
,FDR,Federal Air,FEDAIR,South Africa,
,FDS,African Medical and Research Foundation,FLYDOC,Kenya,
FX,FDX,FedEx Express,FEDEX,United States,
LW,FDY,Sun Air International,FRIENDLY,United States,
FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan,
,FEC,Denver Express,FALCON EXPRESS,United States,
,FED,Líneas Aéreas Federales,FEDERALES,Argentina,
,FEE,Fly Europa Limited,FLY EURO,United Kingdom,
FT,FEG,FlyEgypt,SKY EGYPT,Egypt,
,FEI,Eagle Air,ARCTIC EAGLE,Iceland,
,FEO,Aeroferinco,FERINCO,Mexico,
,FER,Feria Aviación,FERIA,Spain,
,FES,Aero Taxis Y Servicios Alfe,AERO ALFE,Mexico,
,FET,Old Dominion Freight Lines,FREIGHT LINE,United States,
,FEX,Flightexec,FLIGHTEXEC,Canada,
N5,FEY,Fly Easy,FLYEASY,India,
,FFA,Avialesookhrana,AVIALESOOKHRANA,Russia,
,FFB,Africair Service,FOXTROT FOXTROT,Senegal,
,FFC,Fairoaks Flight Centre,FAIROAKS,United Kingdom,
,FFD,Stuttgarter Flugdienst,FIRST FLIGHT,Germany,
,FFF,Freedom Air Services,INTER FREEDOM,Nigeria,
,FFG,Flugdienst Fehlhaber,WITCHCRAFT,Germany,
,FFH,Shalom Air Services,PEACE AIR,Nigeria,
,FFI,Infinit Air,INFINIT,Spain,
,FFL,ForeFlight,FOREFLIGHT,United States,3rd party Privacy ICAO Address (PIA) callsign used to obscure true airplane registrations
,FFL,Intavia Limited,,United Kingdom,
FY,FFM,Firefly,FIREFLY,Malaysia,
,FFP,Fischer Air Polska,FLYING FISH,Poland,
8F,FFR,Fischer Air,FISCHER,Czech Republic,
,FFS,Florida Department of Agriculture,FORESTRY,United States,
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States,
,FFU,GEC Marconi Avionics,FERRANTI,United Kingdom,
,FFY,Fun Flying Thai Air Service,FUN FLYING,Thailand,
